
symm_ll_blocked 10
100 0.000431 0.000640
200 0.000235 0.000236
300 0.000452 0.000472
400 0.000862 0.000798
500 0.001347 0.001204
600 0.001991 0.001745
700 0.002929 0.002477
800 0.004078 0.003698
900 0.005003 0.004579
1000 0.006264 0.005705
syr2k_blocked 10
100 0.000669 0.000496
200 0.002047 0.001243
300 0.003738 0.002598
400 0.006028 0.004173
500 0.009636 0.006446
600 0.012083 0.008991
700 0.007959 0.008036
800 0.005852 0.004919
900 0.005353 0.004629
1000 0.005655 0.004663

trsv_l_blocked 10
100 0.000890 0.000014
200 0.001858 0.000024
300 0.000495 0.000008
400 0.000803 0.000012
500 0.000850 0.000019
600 0.001066 0.000026
700 0.001274 0.000033
800 0.001620 0.000050
900 0.001855 0.000066
1000 0.002327 0.000090
